name,text_type
青春最好时第集,剧情 爱情 悬疑
HD托马斯和他的朋友们SNEW,动画 短片 儿童
夺宝幸运星 ,喜剧 动画 短片
欢天喜地对亲家第集,喜剧
麻雀 ,剧情 悬疑
索玛花开 ,剧情
HD反恐特战队 第集,剧情
少帅 ,剧情 传记 历史
仙剑云之凡 ,爱情 奇幻 武侠 古装
使徒行者 ,剧情 动作 犯罪
乔省长和他的女儿们 ,剧情 家庭
商道天问 ,剧情 爱情
夜线,动作 动画
星猫历险记 古城大冒险 ,喜剧 动画 家庭 冒险
大都市小爱情第集,剧情 家庭
CCTV新闻,战争
拥抱星星的月亮,剧情 家庭
真相特别节目,纪录片
我要当八路 ,战争
今日亚洲,纪录片 战争 脱口秀
大宅门,剧情 爱情 家庭 传记 历史
反黑 国语版 ,剧情 犯罪
闯关东,剧情
侠捕之诡影迷踪,悬疑 武侠
爱情闯进门 ,爱情
亲爱的,剧情 家庭
海棠依旧第集,剧情 传记
地球之极,纪录片
厨子戏子痞子,喜剧 动作
电视剧场我的父亲我的兵—,剧情
心如铁,剧情 悬疑
精品财经纪录彩色二战,纪录片
非亲姐妹 ,剧情 家庭
少年师爷之知礼万事通 ,喜剧 动画
银河奥特曼,科幻
少林问道 ,剧情 古装
风云天地第集,剧情 家庭
蒙面唱将猜猜猜,音乐 真人秀
健康之路,真人秀
今日说法,纪录片
家庭影院测试,喜剧 动画 短片
托马斯和他的朋友们 第四季 ,动画 短片 儿童
发现,剧情 爱情 科幻 悬疑
拍案说法,脱口秀
王牌对王牌下,剧情 动作 悬疑 惊悚 犯罪
喵星人,喜剧 儿童 奇幻
再说一次我愿意 ,剧情 爱情
企鹅家族第四季,动画 家庭
小旋风柴进之丹书铁券,古装
因为爱情有多美第集,剧情 爱情
母乳喂养宣传片,动作 短片 武侠
冥界,惊悚 恐怖
猪猪侠 第十部 五灵守卫者 ,动画
大叔我爱你,喜剧 爱情
王牌保安,动作 惊悚 犯罪
阿优之神奇幻镜 ,动画 儿童
HD凤囚凰 第集,剧情 爱情 古装
极品家丁 ,喜剧 古装
HD喜羊羊与灰太狼之洋洋得意喜羊羊之二new,动画 儿童
HD欢乐喜剧人娱乐,喜剧
栋笃神探国语版,喜剧 犯罪
乔杉 修睿 柳岩 大兵最好的礼物,歌舞
独立日大电影,动作 科幻 冒险 灾难
大耳朵图图第部TV版 ,喜剧 动画 冒险
HD好久不见 第集,音乐 舞台艺术
暗黑者第集,剧情 喜剧 悬疑 犯罪
欢乐颂第集,剧情 爱情
绝命后卫师 ,剧情 战争
对与决 ,剧情
新闻联播,纪录片
我爱我家第集,喜剧 家庭
武则天秘史 ,传记 历史
一剧场我的父亲我的兵—,剧情
好运来临TV版第集,恐怖 短片
HD期 全国总决赛进,动画 运动
零速争霸 ,动画 儿童 冒险 运动
仙剑奇侠传三 ,爱情 奇幻 武侠 古装
欢乐之城第二部 ,剧情
小马宝莉第四季,喜剧 动画 冒险
英雄本色预告片,剧情 动作
海绵宝宝 第八季 ,喜剧 动画 家庭
森冤,惊悚 恐怖 犯罪
中国排球超级联赛全明星赛,音乐
飞天小女警第一季,喜剧 动画 儿童
林海雪原,剧情
原来就是你 ,喜剧 爱情
幸福计 ,剧情 喜剧 家庭
大耳朵图图Ⅲ,喜剧 动画 冒险
一个人的皮影戏,剧情
大清盐商 ,剧情 传记 历史 古装
喜剧总动员Ⅱ,喜剧 真人秀
风暴,动作 犯罪
经济半小时,纪录片 脱口秀
大话西游之月光宝盒,喜剧 爱情 奇幻 冒险
包公出巡之明镜高悬 ,剧情
王牌对王牌,剧情 动作 悬疑 惊悚 犯罪
美人鱼,喜剧 爱情 奇幻
